Address,Address_to_run_script,LatLng_script,LAT_script,LNG_script,LAT,LNG,Chanel,Business_name,Address_line_1,Address line 2,City,Postal_code,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,STATURDAY,SUNCDAY,LINK,CAMP_TEXT,,
"Dresden, Peschelstraße 33","Dresden, Peschelstraße 33, Germany","51.084981, 13.696617",51.084981,13.696617,51.084981,13.696617,Franchise,TOM TAILOR Store,Peschelstraße 33,Elbepark,Dresden,1139,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,Lat,Lng
Nordhausen Am Pferdemarkt 1,"Nordhausen Am Pferdemarkt 1, Germany","51.5034274, 10.7944638",51.5034274,10.7944638,51.5034274,10.7944638,Franchise,TOM TAILOR Store,Am Pferdemarkt 1,Nordhäuser Passage,Nordhausen,99734,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Lingen Poststraße 5,"Lingen Poststraße 5, Germany","52.520029, 7.318438999999999",52.520029,7.318439,52.520029,7.318439,Franchise,TOM TAILOR Denim Store,Poststraße 5,Lookentor,Lingen,49808,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Jena Goethestraße 3,"Jena Goethestraße 3, Germany","50.9274973, 11.5820807",50.9274973,11.5820807,50.9274973,11.5820807,Franchise,TOM TAILOR Store,Goethestraße 3,Goethe Galerie,Jena,7743,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Schwedt Landgrabenpark 1,"Schwedt Landgrabenpark 1, Germany","53.0655381, 14.2734489",53.0655381,14.2734489,53.0655381,14.2734489,Franchise,TOM TAILOR Store,Landgrabenpark 1,Oder-Center,Schwedt,16303,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,#REF!,
Eisenach Karlstr. 32,"Eisenach Karlstr. 32, Germany","50.9751, 10.32312",50.9751,10.32312,50.9751,10.32312,Franchise,Tom Tailor Store,Karlstr. 32,,Eisenach,99817,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Wildau Chausseestr. 1,"Wildau Chausseestr. 1, Germany","52.3140386, 13.6073362",52.3140386,13.6073362,52.3140386,13.6073362,Franchise,Tom Tailor Store,Chausseestr. 1,A10 Center,Wildau,15745,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Neubrandenburg Marktplatz 2,"Neubrandenburg Marktplatz 2, Germany","53.5573835, 13.2595059",53.5573835,13.2595059,53.5573835,13.2595059,Franchise,Tom Tailor Store,Marktplatz 2,Marktplatzcenter,Neubrandenburg,17033,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Potsdam Babelsbergerstr. 8,"Potsdam Babelsbergerstr. 8, Germany","52.3926863, 13.0640369",52.3926863,13.0640369,52.3926863,13.0640369,Franchise,Tom Tailor Store,Babelsbergerstr. 8,Potsdam Hauptbahnhof,Potsdam,14473,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
Rostock Kröpeliner Str. 47,"Rostock Kröpeliner Str. 47, Germany","54.0883421, 12.1303383",54.0883421,12.1303383,54.0883421,12.1303383,Franchise,Tom Tailor Store,Kröpeliner Str. 47,,Rostock,18055,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,closed,,,,
